Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	8 accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	2 Pages	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	294 accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/m_harrison93	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/SophiaGnzlz	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/Therapist_Ben	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/ImAliceJohnson	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/LevyMillar	
				
1. Disguising assets	1.1 Adopting visual disguise	1.1.2 Using profile pictures like created using generative adversarial networks (GAN)	To increase credibility, these accounts utilized multiple, high quality AI-generated imagery for profile pictures.	
1. Disguising assets	1.2 Posing as non-existent person	1.2.8 Posing as fictional person in target region	The core of the network consisted of a subset of high-complexity accounts (the “creators”) designed to produce original content. These personas had well-developed backstories, interests, and jobs, and included an American political scientist with a PhD, a women’s rights activist, and an Albanian satirical cartoonist.	
				
5. Evading detection	5.5 Obfuscating infrastructure	5.5.1 Using proxy IP in target country	The operators of this network employed operational security measures to mask their location, including the systematic use of proxy IPs to appear as though they were located in the United States. 	
				
6. Indiscriminate engagement	6.2 Amplifying with likely fake accounts on social media	6.2.1 Amplifying with likely fake accounts on Facebook	Surrounding the core creators was a larger ring of lower-complexity “amplifier” personas designed to boost engagement. The amplifiers engaged with creators’ content via comments, reactions, and shares, in an attempt to make their content appear more popular.	
6. Indiscriminate engagement	6.2 Amplifying with likely fake accounts on social media	6.2.2 Amplifying with likely fake accounts on Instagram	Surrounding the core creators was a larger ring of lower-complexity “amplifier” personas designed to boost engagement. The amplifiers engaged with creators’ content via comments, reactions, and shares, in an attempt to make their content appear more popular.	
				
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 15 accounts followed one or more of these Pages	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	About 41,000 accounts followed one or more of these Instagram accounts.	
7. Targeted engagement	7.3 Engaging with specific audience	7.3.3 Commenting on specific posts	The new accounts engaged almost exclusively in commenting activity, abandoning original posting and substantial persona building.	
