Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	55 accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	36 pages	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	23 groups	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	1 account	
				
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 49,000 accounts followed one or more of these Pages.	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.3 Acquiring Group members	About 1,100 accounts followed one or more of these Groups.	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	About 2,900 accounts followed one or more of these Instagram accounts.	
7. Targeted engagement	7.3 Engaging with specific audience	7.3.2 Posting into specifically themed Groups	These carefully constructed fake accounts were used to infiltrate and post content within civic groups that aligned with each persona's stated political orientation.	
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	We observed that network operators consistently amplified narratives critical of Warsaw Mayor Rafal Trzaskowski and the current Polish government.	
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.2 Posting positive content about named individuals or institutions	We observed that network operators consistently promoted content favorable to the Polish Law and Justice (PiS) Party.	
