Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,67 accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,70 pages,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,2 groups,
,,,,
5. Evading detection,5.2 Camouflaging content,5.2.3 Using coded language,"This network utilized text obfuscation methods, such as “4ng0la, “uk_ra_ine”, and “fr@nce.”",
,,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"The network engaged in around $107,300 in spending for ads on Facebook and Instagram, paid for mostly in US dollars, South African Rands, and Nigerian Nairas.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 621,400 accounts followed one or more of these Pages.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.3 Acquiring Group members,"About 4,200 accounts followed one or more of these Groups.",
7. Targeted engagement,7.4 Co-opting real people / organizations,7.4.1 Hiring freelance content creators ,This network targeted multiple countries throughout sub-Saharan Africa and leveraged local freelancers.,
7. Targeted engagement,7.4 Co-opting real people / organizations,7.4.3 Partnering with real organizations,"The operation leveraged established, authentic media outlets on Facebook that offered paid advertisements, typically including “DM for ads” or similar language in their Page descriptions.",
