Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,govorit[.]md,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,5 accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,2 pages,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,3 groups,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,hxxp://youtube[.]com/@GovoritMD,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,tiktok[.]com/@govorit.md,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,hxxps://t[.]me/govoritmd,
,,,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.3 Adopting visual brand,"The operation demonstrated sophisticated media impersonation tactics, creating a multi-platform ecosystem of assets with professional branding designed to masquerade as authentic news outlets.",
1. Disguising assets,1.2 Posing as non-existent person,1.2.7 Creating fictitious byline,Network operators used fake Facebook accounts to establish credible backstories for fictional reporters whose bylines appeared on their off-platform website.,
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet ,Govorit MD,
1. Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,"The operation demonstrated sophisticated media impersonation tactics, creating a multi-platform ecosystem of assets with professional branding designed to masquerade as authentic news outlets.",
,,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $24 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,About 146 accounts followed one or more of these Pages.,
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.3 Acquiring Group members,About 1 account followed one or more of these Groups.,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,We observed that network operators consistently promoted messaging favorable to the Moldova Mare political party while targeting content critical of the ruling Party of Action and Solidarity (PAS) government.,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals or institutions,We observed that network operators consistently promoted messaging favorable to the Moldova Mare political party while targeting content critical of the ruling Party of Action and Solidarity (PAS) government.,
