Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sizinyol[.]org,
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,qafqaztimes[.]com,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,367 Accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,3 Pages,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,360 Accounts,
,,,,
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region,"This operation, active since 2022, was characterized by high-quality persona building; fake accounts included detailed information such as relationship statuses, education, and specific professions.",
,,,,
7. Targeted engagement,7.3 Engaging with specific audience,7.3.3 Commenting on specific posts,The network attempted to inject narratives into the comment sections of prominent authentic news pages like the BBC and RadioLiberty.,
7. Targeted engagement,7.3 Engaging with specific audience,7.3.4  Utilising Language-Specific Campaigns,"Some of the accounts in this network were designed to reflect the actual Azerbaijani diaspora in Russia, speaking Russian and claiming to live in Moscow.",
