Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	newgenerationrebellion[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	ngrebellion[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	newgenreb[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	twgossiping[.]com	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	154 Accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	23 Pages	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	1 Account	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	youtube[.]com/@NewGenerationRebellion	
				
1. Disguising assets	1.2 Posing as non-existent person	1.2.8 Posing as fictional person in target region	The network operated several pages, such as Taiwan Gossip Net and New Generation Rebellion, that claimed to be run by Taiwanese volunteers and nationals.	
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	The network operated several pages, such as Taiwan Gossip Net and New Generation Rebellion, that claimed to be run by Taiwanese volunteers and nationals.	
1. Disguising assets	1.8 Backstopping	1.8.2 Backstopping fictitious brand or organization across multiple websites	The network maintained a presence on other platforms, including a YouTube channel and a dedicated Android app, to support its fake personas.	
				
2. Gathering information	2.1. Soliciting information	2.1.1 Publicly soliciting information	The network encouraged users to submit anonymous grievances about Taiwanese public affairs to foster domestic discord.	
				
5. Evading detection	5.5 Obfuscating infrastructure	5.5.1 Using proxy IP in target country	The individuals behind this campaign used Taiwan-based proxy IPs and traditional Chinese script to make their operations appear to be of Taiwanese origin.	
				
7. Targeted engagement	7.1 Running ads	7.1.1 Advertising to promote content	The network engaged in around $15,000 in spending for ads on Facebook and Instagram, paid for mostly in Hong Kong Dollars, Chinese Yuan, Taiwan New Dollars, likely to appear more legitimate.	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 93,000 accounts followed one or more of these Pages.	
7. Targeted engagement	7.3 Engaging with specific audience	7.3.4  Utilising Language-Specific Campaigns	The individuals behind this campaign used Taiwan-based proxy IPs and traditional Chinese script to make their operations appear to be of Taiwanese origin.	
